"date","region","bv_seq"
2021-10-21,"Americas",6
2021-10-21,"Asia",26
2021-10-28,"Africa",4
2021-10-28,"Americas",4
2021-10-28,"Asia",18
2021-11-04,"Africa",15
2021-11-04,"Americas",3
2021-11-04,"Asia",33
2021-11-04,"Europe",1
2021-11-11,"Africa",13
2021-11-11,"Americas",5
2021-11-11,"Asia",21
2021-11-11,"Europe",5
2021-11-18,"Africa",16
2021-11-18,"Americas",5
2021-11-18,"Asia",17
2021-11-18,"Europe",2
2021-11-25,"Africa",22
2021-11-25,"Americas",1
2021-11-25,"Asia",19
2021-11-25,"Europe",2
2021-12-02,"Africa",11
2021-12-02,"Americas",4
2021-12-02,"Asia",31
2021-12-02,"Europe",5
2021-12-09,"Africa",13
2021-12-09,"Americas",3
2021-12-09,"Asia",38
2021-12-09,"Europe",2
2021-12-16,"Africa",10
2021-12-16,"Americas",8
2021-12-16,"Asia",23
2021-12-16,"Europe",7
2021-12-23,"Africa",4
2021-12-23,"Americas",4
2021-12-23,"Asia",22
2021-12-23,"Europe",5
2021-12-23,"Oceania",2
2021-12-30,"Asia",35
2021-12-30,"Europe",2
2022-01-06,"Africa",6
2022-01-06,"Americas",3
2022-01-06,"Asia",50
2022-01-06,"Europe",1
2022-01-13,"Americas",1
2022-01-13,"Asia",60
2022-01-13,"Europe",5
2022-01-20,"Americas",1
2022-01-20,"Asia",24
2022-01-20,"Europe",6
2022-01-27,"Africa",1
2022-01-27,"Americas",1
2022-01-27,"Asia",14
2022-01-27,"Europe",1
2022-02-03,"Asia",28
2022-02-03,"Europe",2
2022-02-10,"Americas",4
2022-02-10,"Asia",31
2022-02-10,"Europe",4
2022-02-17,"Asia",16
2022-02-17,"Europe",2
2022-02-24,"Asia",16
2022-02-24,"Europe",4
2022-02-24,"Oceania",1
2022-03-03,"Africa",1
2022-03-03,"Americas",2
2022-03-03,"Asia",27
2022-03-03,"Europe",3
2022-03-03,"Oceania",1
2022-03-10,"Africa",2
2022-03-10,"Asia",21
2022-03-10,"Europe",8
2022-03-17,"Africa",3
2022-03-17,"Americas",3
2022-03-17,"Asia",17
2022-03-17,"Europe",6
2022-03-24,"Africa",1
2022-03-24,"Americas",1
2022-03-24,"Asia",16
2022-03-24,"Europe",4
2022-03-31,"Africa",2
2022-03-31,"Americas",1
2022-03-31,"Asia",10
2022-03-31,"Europe",14
2022-04-07,"Americas",1
2022-04-07,"Asia",13
2022-04-07,"Europe",19
2022-04-14,"Americas",2
2022-04-14,"Asia",12
2022-04-14,"Europe",19
2022-04-21,"Asia",9
2022-04-21,"Europe",18
2022-04-28,"Americas",1
2022-04-28,"Asia",9
2022-04-28,"Europe",12
2022-05-05,"Asia",8
2022-05-05,"Europe",11
2022-05-12,"Africa",4
2022-05-12,"Americas",4
2022-05-12,"Asia",4
2022-05-12,"Europe",13
2022-05-19,"Africa",8
2022-05-19,"Asia",7
2022-05-19,"Europe",13
2022-05-19,"Oceania",1
2022-05-26,"Africa",10
2022-05-26,"Asia",9
2022-05-26,"Europe",8
2022-05-26,"Oceania",1
