,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[69],0.032,0.323,-0.491,0.569,0.002,0.004,19124.0,5647.0,1.0
mu[70],-0.107,0.381,-0.74,0.515,0.003,0.005,17805.0,4892.0,1.0
mu[71],-0.211,0.271,-0.645,0.252,0.002,0.003,19120.0,5842.0,1.0
mu[72],-0.265,0.298,-0.772,0.214,0.002,0.003,18670.0,5301.0,1.0
mu[73],-0.417,0.392,-1.064,0.228,0.003,0.003,19657.0,5849.0,1.0
mu[74],-0.252,0.316,-0.741,0.294,0.002,0.003,18015.0,5683.0,1.0
mu[75],-0.188,0.38,-0.824,0.408,0.003,0.004,19693.0,5039.0,1.0
mu[76],-0.081,0.288,-0.563,0.38,0.002,0.004,18939.0,4933.0,1.0
mu[77],-0.358,0.328,-0.878,0.184,0.003,0.003,16469.0,5613.0,1.0
mu[78],-0.248,0.415,-0.897,0.455,0.003,0.004,17052.0,5796.0,1.0
mu[79],-0.295,0.34,-0.859,0.257,0.003,0.003,17317.0,5066.0,1.0
mu[80],-0.258,0.277,-0.724,0.18,0.002,0.003,18576.0,5891.0,1.0
mu[81],-0.202,0.257,-0.612,0.226,0.002,0.003,17714.0,5114.0,1.0
mu[82],-0.425,0.353,-0.977,0.189,0.003,0.003,16511.0,5398.0,1.0
mu[83],-0.218,0.339,-0.79,0.321,0.002,0.004,20777.0,5675.0,1.0
mu[84],-0.293,0.389,-0.932,0.336,0.003,0.004,20099.0,6131.0,1.0
mu[85],-0.149,0.359,-0.746,0.43,0.003,0.004,17107.0,5325.0,1.0
mu[86],-0.405,0.377,-1.04,0.195,0.003,0.003,18912.0,5537.0,1.0
mu[87],-0.425,0.331,-0.982,0.108,0.002,0.003,18373.0,5555.0,1.0
mu[88],-0.337,0.317,-0.848,0.195,0.002,0.003,19876.0,5823.0,1.0
mu[89],-0.27,0.308,-0.755,0.255,0.002,0.003,18561.0,5671.0,1.0
mu[90],-0.241,0.302,-0.716,0.279,0.002,0.003,19309.0,5283.0,1.0
mu[91],-0.274,0.227,-0.661,0.089,0.002,0.002,16961.0,5629.0,1.0
mu[92],-0.093,0.277,-0.56,0.355,0.002,0.003,19348.0,5199.0,1.0
mu[93],-0.429,0.353,-1.04,0.115,0.003,0.003,18832.0,5591.0,1.0
mu[94],-0.214,0.319,-0.715,0.332,0.002,0.003,16841.0,5291.0,1.0
mu[95],-0.159,0.351,-0.701,0.449,0.002,0.004,19600.0,5478.0,1.0
mu[96],-0.388,0.337,-0.927,0.17,0.002,0.003,18863.0,5356.0,1.0
mu[97],-0.408,0.334,-0.952,0.142,0.002,0.003,20500.0,5825.0,1.0
mu[98],-0.006,0.307,-0.503,0.5,0.002,0.004,15911.0,5643.0,1.0
mu[99],-0.095,0.365,-0.677,0.518,0.003,0.005,16983.0,5617.0,1.0
mu[100],-0.317,0.336,-0.888,0.211,0.002,0.003,19637.0,5329.0,1.0
mu[101],-0.182,0.216,-0.536,0.172,0.002,0.002,17923.0,5647.0,1.0
mu[102],-0.097,0.361,-0.677,0.502,0.003,0.005,17905.0,5920.0,1.0
